,tweet_created,tweet_id,full_text,cleaned_text,sentiment_confidence,sentiment,sentiment_encoded
0,2015-08-07 09:54:46 -0700,6.296972006505923e+17,RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate,how did everyone feel about the climate change question last night exactly gopdebate,0.6578,Neutral,2
1,2015-08-07 09:54:46 -0700,6.296971995600691e+17,RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF…,did not catch the full gopdebate last night here are some of scotts best lines in 90 seconds walker16 …,0.6333,Positive,4
2,2015-08-07 09:54:46 -0700,6.296971993124823e+17,RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.,no mention of tamir rice and the gopdebate was held in cleveland wow,0.6629,Neutral,2
3,2015-08-07 09:54:45 -0700,6.296971971188613e+17,RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …,that carly fiorina is trending  hours after her debate  above any of the men in justcompleted gopdebate says she is on …,1.0,Positive,4
4,2015-08-07 09:54:45 -0700,6.296971969679032e+17,RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co…,gopdebate w delivered the highest ratings in the history of presidential debates trump2016 …,0.7045,Positive,4
5,2015-08-07 09:54:44 -0700,6.296971942834995e+17,"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",on my first day i will rescind every illegal executive action taken by barack obama gopdebate,0.6332,Positive,4
6,2015-08-07 09:54:44 -0700,6.296971923836723e+17,RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://…,i liked her and was happy when i heard she was going to be the moderator not anymore gopdebate https…,0.6761,Negative,0
7,2015-08-07 09:54:44 -0700,6.296971921697505e+17,Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate,going on msnbc live with around 2 pm et gopdebate,1.0,Neutral,2
8,2015-08-07 09:54:44 -0700,6.296971902192435e+17,"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate",deer in the headlights rt ben carson may be the only brain surgeon who has performed a lobotomy on himself gopdebate,0.6889,Negative,0
9,2015-08-07 09:54:42 -0700,6.296971850938245e+17,RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD,last nights debate proved it gopdebate batsask tbats ,0.6778,Negative,0
10,2015-08-07 09:54:42 -0700,6.296971850729882e+17,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,in all fairness billclinton owns that phrasegopdebate,1.0,Negative,0
11,2015-08-07 09:54:42 -0700,6.296971842593055e+17,"RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV",just woke up to tweet this out gopdebate best line of the night via ,1.0,Positive,4
12,2015-08-07 09:54:42 -0700,6.29697183499944e+17,Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ,me reading my familys comments about how great the gopdebate was ,0.6957,Negative,0
14,2015-08-07 09:54:42 -0700,6.296971828288922e+17,RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate,i loved scott walker as mark harmons romantic rival in summer school look it up gopdebate,1.0,Positive,4
15,2015-08-07 09:54:41 -0700,6.296971795155354e+17,Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate,hey exploiting the tragedy of 911 for your own political gain is thing gopdebate,1.0,Negative,0
16,2015-08-07 09:54:41 -0700,6.296971783620936e+17,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.…,donaldtrump under fire for comments about women weigh in on gopdebate …,0.6264,Negative,0
17,2015-08-07 09:54:40 -0700,6.29697e+17,RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx,guess who had most speaking time at the gopdebate moderators with 317 of time ,0.6629,Negative,0
18,2015-08-07 09:54:40 -0700,6.296971766424494e+17,reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate,reason comment is funny in case you are ignorant is the gop tcot are the reason the government is not working for the people gopdebate,1.0,Negative,0
19,2015-08-07 09:54:40 -0700,6.296971759795855e+17,"RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate",huckabee paying for transgender surgery for soldiers sailors and airmen does not make our country safer ha gopdebate,0.6669,Negative,0
20,2015-08-07 09:54:39 -0700,6.296971718985277e+17,"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate",cruz has class  truth that gets my vote gopdebate,1.0,Positive,4
21,2015-08-07 09:54:39 -0700,6.296971715797975e+17,RT @mchamric: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWr”, gopdebate was still clown show i am glad head clown trump helping destroy gop ,0.3511,Negative,0
22,2015-08-07 09:54:39 -0700,6.296971704766546e+17,RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate,no i hate planned parenthood and women more no i hate planned parenthood and women more gopdebate,1.0,Negative,0
24,2015-08-07 09:54:38 -0700,6.296971680523346e+17,RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/…,fox news trying to convince us young black americans are more worried about isis than police terrorism gopdebate …,0.6989,Negative,0
25,2015-08-07 09:54:38 -0700,6.296971655484826e+17,"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.",gopdebate rankings worst to be performance  rubio kasich christie bush trump cruz walker paul huckabee carson,1.0,Negative,0
26,2015-08-07 09:54:38 -0700,6.29697165128958e+17,RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger…,scott walkers abortion ban allows rapist father to sue for emotional distress  gopdebate,1.0,Negative,0
27,2015-08-07 09:54:38 -0700,6.296971649990287e+17,"RT @feministabulous: It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #G…",it is not a competition but how have we moved so far on gay rights but womens rights is worse than it is ever been g…,0.3401,Negative,0
28,2015-08-07 09:54:37 -0700,6.296971625745736e+17,RT @mch7576: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu””, gopdebate was still clown show i am glad head clown trump helping destroy gop ,1.0,Negative,0
29,2015-08-07 09:54:37 -0700,6.296971612744786e+17,RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…,watch the gopdebate bet you feel like donating to a democrat right about now  …,0.3295,Negative,0
30,2015-08-07 09:54:36 -0700,6.296971601420042e+17,@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone,they are going to need to borrow the train horn for the next gopdebate  the little bell was wimpy hornmeansyouredone,1.0,Negative,0
31,2015-08-07 09:54:36 -0700,6.296971583510733e+17,RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to …,ted cruz at the gopdebate will be like ted cruz in bed he will keep a confusingly sad look on his face and refuse to …,0.6458,Negative,0
32,2015-08-07 09:54:36 -0700,6.296971568117228e+17,The First #GOPDebate: Social Media Reaction and More http://t.co/X6KUVSkltF,the first gopdebate social media reaction and more ,0.6629,Neutral,2
33,2015-08-07 09:54:36 -0700,6.296971568075448e+17,#SocialMedia: The First #GOPDebate: Social Media Reaction and More http://t.co/ogoYfNyiKj,socialmedia the first gopdebate social media reaction and more ,1.0,Neutral,2
34,2015-08-07 09:54:35 -0700,6.296971556876861e+17,RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate http://t.co/FGGlf2J5HU http://t.co/Zw35DkUozi,winesdaypodcast  an update on foxnews tech failures for the gopdebate  ,0.6576,Negative,0
35,2015-08-07 09:54:35 -0700,6.296971550709514e+17,"RT @AmyMek: The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wi…",the torched has been passed  is no longer the most famous political assassin congratulations you wi…,0.6393,Negative,0
36,2015-08-07 09:54:35 -0700,6.296971547062108e+17,"RT @stockwizards3: Trump/Carson ticket would win in a landslide...
@realDonaldTrump @seanhannity @AnnCoulter #Republican #potus #Trump2016 …",trumpcarson ticket would win in a landslide republican potus trump2016 …,0.3402,Negative,0
37,2015-08-07 09:54:35 -0700,6.296971532884009e+17,"RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t…",jeb bush obama is at fault not my brother because obama did not clean up the mess my brother made gopdebate …,1.0,Negative,0
38,2015-08-07 09:54:33 -0700,6.296971468837151e+17,"RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism …",after the fox news gopdebate we primary voters are none the wiser on the policy plans these folks are putting forth journalism …,1.0,Negative,0
